TREENUM,SURVEYDATE,SPECIES_CODE,COMMONNAME,DBH1_in,TOTHT_ft,CROWNWIDTHNS_ft,CROWNWIDTHEW_ft,BOTANICAL,TreeStatus,CanopyRadius_ft
44,2012-08-07,ILAT,Topal holly,2.7,15,11,10,Ilex x attenuata,Active,6
45,2012-08-07,ILAT,Topal holly,3.1,19,10,12,Ilex x attenuata,Active,6
46,2012-08-07,LAIN,Common crapemyrtle,9.2,24,19,27,Lagerstroemia indica,Active,14
47,2012-08-07,GIBI,Ginkgo,9,35,27,28,Ginkgo biloba,Active,14
48,2012-08-07,GIBI,Ginkgo,8.1,33,16,18,Ginkgo biloba,Active,9
49,2012-08-07,LAIN,Common crapemyrtle,6,20,31,19,Lagerstroemia indica,Active,16
50,2012-08-07,LAIN,Common crapemyrtle,5.7,22,21,24,Lagerstroemia indica,Active,12
51,2012-08-07,LAIN,Common crapemyrtle,7,20,24,28,Lagerstroemia indica,Active,14
52,2012-08-07,LAIN,Common crapemyrtle,3.8,21,22,32,Lagerstroemia indica,Active,16
53,2012-08-07,LAIN,Common crapemyrtle,3,19,22,25,Lagerstroemia indica,Active,12
54,2012-08-07,LAIN,Common crapemyrtle,5.5,21,26,26,Lagerstroemia indica,Removed,13
55,2012-08-07,PIEL,Slash pine,24.2,58,49,46,Pinus elliottii,Active,24
56,2012-08-07,CECA,Eastern redbud,8.8,15,24,22,Cercis canadensis,Active,12
57,2012-08-07,COFL,Flowering dogwood,3.9,16,13,15,Cornus florida,Active,8
58,2012-08-07,COFL,Flowering dogwood,7.2,19,25,25,Cornus florida,Active,12
59,2012-08-08,COFL,Flowering dogwood,2.5,9,11,11,Cornus florida,Active,6
60,2012-08-08,CECA,Eastern redbud,9.9,17,23,20,Cercis canadensis,Active,12
61,2012-08-08,PRYE,Yoshino flowering cherry,8.2,20,26,30,Prunus yedoensis,Active,15
62,2012-08-08,LAIN,Common crapemyrtle,4.1,26,21,33,Lagerstroemia indica,Active,16
63,2012-08-08,PRYE,Yoshino flowering cherry,7.7,21,27,28,Prunus yedoensis,Active,14
64,2012-08-08,PRYE,Yoshino flowering cherry,7.5,20,24,24,Prunus yedoensis,Active,12
65,2012-08-08,ILOP,American holly,7.1,35,19,18,Ilex opaca,Active,10
66,2012-08-08,ILOP,American holly,5.3,16,14,12,Ilex opaca,Removed,7
67,2012-08-08,PYCA,Callery pear,18.8,47,38,33,Pyrus calleryana,Active,19
68,2012-08-08,LAIN,Common crapemyrtle,5.1,20,35,31,Lagerstroemia indica,Active,18
69,2012-08-08,LAIN,Common crapemyrtle,2,20,20,17,Lagerstroemia indica,Active,10
70,2012-08-08,ILAT,Topal holly,5.4,25,14,14,Ilex x attenuata,Active,7
71,2012-08-08,LAIN,Common crapemyrtle,5,28,34,32,Lagerstroemia indica,Removed,17
72,2012-08-08,PRYE,Yoshino flowering cherry,6.2,16,20,24,Prunus yedoensis,Removed,12
73,2012-08-08,PRYE,Yoshino flowering cherry,6.1,18,19,31,Prunus yedoensis,Removed,16
74,2012-08-08,BENI,River birch,17,42,56,68,Betula nigra,Removed,34
75,2012-08-08,BENI,River birch,6.2,38,32,37,Betula nigra,Removed,18
76,2012-08-08,BENI,River birch,13.4,43,42,58,Betula nigra,Removed,29
77,2012-08-08,MAGR,Southern magnolia,19.9,41,34,31,Magnolia grandiflora,Removed,17
78,2012-08-08,BENI,River birch,27.2,43,63,55,Betula nigra,Active,32
79,2012-08-08,ILVO,Yaupon,1.1,10,6,6,Ilex vomitoria,Active,3
80,2012-08-08,PYCA,Callery pear,23.2,48,50,42,Pyrus calleryana,Removed,25
81,2012-08-08,PYCA,Callery pear,10.6,41,30,34,Pyrus calleryana,Removed,17
82,2012-08-08,ACPA,Japanese maple,9,17,24,24,Acer palmatum,Removed,12
83,2012-08-08,MAGR,Southern magnolia,14.2,42,29,23,Magnolia grandiflora,Removed,14
84,2012-08-08,PYCA,Callery pear,9,40,25,24,Pyrus calleryana,Removed,12
85,2012-08-08,PYCA,Callery pear,19.5,41,51,36,Pyrus calleryana,Removed,26
86,2012-08-08,QUNI,Water oak,20.7,40,47,50,Quercus nigra,Active,25
87,2012-08-08,PYCA,Callery pear,23,40,41,54,Pyrus calleryana,Removed,27
88,2012-08-08,ACRU,Red maple,2.7,16,8,8,Acer rubrum,Removed,4
89,2012-08-08,PRYE,Yoshino flowering cherry,7.2,17,27,24,Prunus yedoensis,Removed,14
90,2012-08-08,COFL,Flowering dogwood,5.5,22,20,15,Cornus florida,Removed,10
91,2012-08-08,QUPH,Willow oak,24.9,44,61,60,Quercus phellos,Active,30
92,2012-08-08,LAIN,Common crapemyrtle,6.4,32,31,23,Lagerstroemia indica,Removed,16
93,2012-08-08,LAIN,Common crapemyrtle,4.6,29,26,27,Lagerstroemia indica,Removed,14
94,2012-08-08,COFL,Flowering dogwood,2.8,21,14,19,Cornus florida,Removed,10
95,2012-08-08,COFL,Flowering dogwood,4.4,26,9,6,Cornus florida,Removed,4
96,2012-08-08,COFL,Flowering dogwood,5.3,25,13,13,Cornus florida,Removed,6
97,2012-08-08,ULRU,Slippery elm,20.8,48,42,33,Ulmus rubra,Removed,21
98,2012-08-08,ULRU,Slippery elm,18.9,64,44,31,Ulmus rubra,Removed,22
99,2012-08-08,ULAM,American elm,46.1,58,80,46,Ulmus americana,Active,40
100,2012-08-08,LAIN,Common crapemyrtle,2.8,23,13,19,Lagerstroemia indica,Removed,10
101,2012-08-08,ACRU,Red maple,20.2,66,41,44,Acer rubrum,Removed,22
102,2012-08-08,ACRU,Red maple,20.3,68,54,46,Acer rubrum,Removed,27
103,2012-08-08,ACRU,Red maple,25.4,64,52,56,Acer rubrum,Removed,28
104,2012-08-08,MAGR,Southern magnolia,28.7,43,35,33,Magnolia grandiflora,Removed,18
105,2012-08-08,ACRU,Red maple,13.1,52,44,35,Acer rubrum,Removed,22
106,2012-08-08,LAIN,Common crapemyrtle,3.9,22,27,29,Lagerstroemia indica,Removed,14
107,2012-08-08,LAIN,Common crapemyrtle,5.3,19,26,26,Lagerstroemia indica,Removed,13
108,2012-08-08,MAGR,Southern magnolia,29.6,48,48,55,Magnolia grandiflora,Removed,28
109,2012-08-08,LAIN,Common crapemyrtle,9,32,36,33,Lagerstroemia indica,Removed,18
110,2012-08-08,MAGR,Southern magnolia,18.2,37,30,29,Magnolia grandiflora,Active,15
111,2012-08-08,PRYE,Yoshino flowering cherry,16,35,31,46,Prunus yedoensis,Active,23
112,2012-08-08,PYCA,Callery pear,16.3,41,29,26,Pyrus calleryana,Active,14
113,2012-08-08,PYCA,Callery pear,16.8,42,37,16,Pyrus calleryana,Active,18
114,2012-08-08,PYCA,Callery pear,17.9,37,32,27,Pyrus calleryana,Active,16
115,2012-08-08,LAIN,Common crapemyrtle,4.9,28,25,32,Lagerstroemia indica,Removed,16
116,2012-08-08,KOPA,Goldenrain tree,19,40,43,45,Koelreuteria paniculata,Removed,22
117,2012-08-08,LAIN,Common crapemyrtle,4.7,26,17,19,Lagerstroemia indica,Removed,10
118,2012-08-08,KOPA,Goldenrain tree,22.1,41,38,42,Koelreuteria paniculata,Removed,21
119,2012-08-08,LAIN,Common crapemyrtle,4.2,25,15,25,Lagerstroemia indica,Removed,12
120,2012-08-08,COFL,Flowering dogwood,3.9,22,14,16,Cornus florida,Active,8
121,2012-08-08,COFL,Flowering dogwood,6.2,19,17,18,Cornus florida,Removed,9
122,2012-08-08,MAGR,Southern magnolia,19.9,49,38,40,Magnolia grandiflora,Active,20
123,2012-08-08,PYCA,Callery pear,15.5,48,28,30,Pyrus calleryana,Active,15
124,2012-08-08,PYCA,Callery pear,16.3,43,21,32,Pyrus calleryana,Active,16
125,2012-08-08,MAGR,Southern magnolia,21.5,34,30,34,Magnolia grandiflora,Active,17
126,2012-08-08,MAGR,Southern magnolia,13,41,16,32,Magnolia grandiflora,Active,16
127,2012-08-08,QUNI,Water oak,29.5,71,52,55,Quercus nigra,Active,28
128,2012-08-08,MAGR,Southern magnolia,19.6,43,53,34,Magnolia grandiflora,Active,26
129,2012-08-08,QUNI,Water oak,45.3,75,55,59,Quercus nigra,Active,30
130,2012-08-08,MAGR,Southern magnolia,11.5,38,24,35,Magnolia grandiflora,Active,18
131,2012-08-08,MAGR,Southern magnolia,6.4,34,29,25,Magnolia grandiflora,Active,14
132,2012-08-08,QUPH,Willow oak,22.5,62,52,49,Quercus phellos,Active,26
133,2012-08-08,QUNI,Water oak,21.8,54,58,60,Quercus nigra,Active,30
134,2012-08-08,PRSE1,Black cherry,22,46,36,67,Prunus serotina,Active,34
135,2012-08-08,CAIL,Pecan,13.5,52,19,33,Carya illinoinensis,Active,16
136,2012-08-08,QUPH,Willow oak,19.2,53,32,45,Quercus phellos,Active,22
137,2012-08-08,MAVI,Sweetbay,8.8,25,24,25,Magnolia virginiana,Active,12
138,2012-08-08,ULPA,Chinese elm,22.8,53,47,43,Ulmus parvifolia,Active,24
139,2012-08-08,LAIN,Common crapemyrtle,3.3,24,24,16,Lagerstroemia indica,Active,12
140,2012-08-08,PYCA,Callery pear,22.6,42,43,52,Pyrus calleryana,Active,26
141,2012-08-08,BENI,River birch,7,35,37,35,Betula nigra,Active,18
142,2012-08-08,LAIN,Common crapemyrtle,7.7,30,36,38,Lagerstroemia indica,Active,19
143,2012-08-08,LAIN,Common crapemyrtle,2.7,23,31,21,Lagerstroemia indica,Removed,16
144,2012-08-08,ACPA,Japanese maple,5,19,22,22,Acer palmatum,Active,11
145,2012-08-08,ACPA,Japanese maple,6.5,18,14,18,Acer palmatum,Active,9
146,2012-08-08,ACPA,Japanese maple,4.4,17,20,23,Acer palmatum,Active,12
147,2012-08-08,LAIN,Common crapemyrtle,3.5,32,22,22,Lagerstroemia indica,Active,11
148,2012-08-08,QUNI,Water oak,26.3,66,55,75,Quercus nigra,Active,38
149,2012-08-08,QUNI,Water oak,34.4,67,88,79,Quercus nigra,Active,44
150,2012-08-08,QUNI,Water oak,22.8,66,65,53,Quercus nigra,Active,32
151,2012-08-08,QUNI,Water oak,23.3,66,78,46,Quercus nigra,Active,39
152,2012-08-09,COFL,Flowering dogwood,9.8,30,37,21,Cornus florida,Active,18
153,2012-08-09,PYCA,Callery pear,10.3,31,25,13,Pyrus calleryana,Active,12
154,2012-08-09,PYCA,Callery pear,13.6,36,28,26,Pyrus calleryana,Active,14
155,2012-08-09,PYCA,Callery pear,13.4,39,29,29,Pyrus calleryana,Active,14
156,2012-08-09,PYCA,Callery pear,16.9,43,34,34,Pyrus calleryana,Active,17
157,2012-08-09,PYCA,Callery pear,24.6,44,63,50,Pyrus calleryana,Active,32
158,2012-08-09,PYCA,Callery pear,18.6,23,40,44,Pyrus calleryana,Active,22
159,2012-08-09,PYCA,Callery pear,9.3,32,21,26,Pyrus calleryana,Active,13
160,2012-08-09,PYCA,Callery pear,22.4,44,53,51,Pyrus calleryana,Removed,26
161,2012-08-09,PYCA,Callery pear,10.2,34,34,34,Pyrus calleryana,Active,17
162,2012-08-09,QUPA,Pin oak,12.4,47,33,33,Quercus palustris,Active,16
163,2012-08-09,QUPA,Pin oak,14,44,32,32,Quercus palustris,Active,16
164,2012-08-09,ULPA,Chinese elm,8.9,29,33,35,Ulmus parvifolia,Active,18
165,2012-08-09,QUPA,Pin oak,10.3,38,27,31,Quercus palustris,Active,16
166,2012-08-09,QUPA,Pin oak,9.4,37,29,29,Quercus palustris,Active,14
167,2012-08-09,ULPA,Chinese elm,7.5,27,32,26,Ulmus parvifolia,Active,16
168,2012-08-09,QUFA,Southern red oak,42.9,60,73,75,Quercus falcata,Active,38
169,2012-08-09,ULPA,Chinese elm,8,25,31,30,Ulmus parvifolia,Active,16
170,2012-08-09,ULPA,Chinese elm,5.6,25,19,23,Ulmus parvifolia,Active,12
171,2012-08-09,ULPA,Chinese elm,5.5,21,18,18,Ulmus parvifolia,Active,9
172,2012-08-09,LAIN,Common crapemyrtle,1,15,12,12,Lagerstroemia indica,Active,6
173,2012-08-09,LAIN,Common crapemyrtle,1.3,14,12,8,Lagerstroemia indica,Active,6
174,2012-08-09,LAIN,Common crapemyrtle,1.8,13,16,15,Lagerstroemia indica,Active,8
175,2012-08-09,MAGR,Southern magnolia,3.8,16,9,9,Magnolia grandiflora,Active,4
176,2012-08-09,MAGR,Southern magnolia,4.3,16,11,9,Magnolia grandiflora,Active,6
177,2012-08-09,MAGR,Southern magnolia,4,12,8,8,Magnolia grandiflora,Active,4
178,2012-08-09,QUNI,Water oak,48.7,51,86,90,Quercus nigra,Active,45
179,2012-08-09,COFL,Flowering dogwood,6.5,21,16,15,Cornus florida,Active,8
180,2012-08-09,ACRU,Red maple,11.1,36,31,29,Acer rubrum,Active,16
181,2012-08-09,ACRU,Red maple,11.7,46,29,31,Acer rubrum,Active,16
182,2012-08-09,ILVO,Yaupon,1.8,15,12,10,Ilex vomitoria,Active,6
183,2012-08-09,ILVO,Yaupon,1.6,17,10,11,Ilex vomitoria,Active,6
184,2012-08-09,ILVO,Yaupon,1.2,13,11,9,Ilex vomitoria,Active,6
185,2012-08-09,ACRU,Red maple,9.6,40,26,30,Acer rubrum,Active,15
186,2012-08-09,ACRU,Red maple,10,40,30,28,Acer rubrum,Active,15
187,2012-08-09,ILCO2,Chinese holly,7.3,24,18,16,Ilex cornuta,Active,9
188,2012-08-09,ACRU,Red maple,11,40,27,27,Acer rubrum,Active,14
189,2012-08-09,ACRU,Red maple,10.8,40,27,31,Acer rubrum,Active,16
190,2012-08-09,ACRU,Red maple,10.5,40,27,36,Acer rubrum,Active,18
191,2012-08-09,COFL,Flowering dogwood,3.3,11,14,11,Cornus florida,Active,7
192,2012-08-09,ILCO2,Chinese holly,7,27,22,16,Ilex cornuta,Active,11
193,2012-08-09,COFL,Flowering dogwood,2.8,9,10,10,Cornus florida,Active,5
194,2012-08-09,ACRU,Red maple,10.5,46,27,36,Acer rubrum,Active,18
195,2012-08-09,COFL,Flowering dogwood,3.1,9,11,7,Cornus florida,Active,6
196,2012-08-09,ILVO,Yaupon,2.4,13,19,11,Ilex vomitoria,Active,10
197,2012-08-09,ILVO,Yaupon,2.3,18,9,10,Ilex vomitoria,Active,5
198,2012-08-09,ILVO,Yaupon,1.7,17,6,8,Ilex vomitoria,Active,4
199,2012-08-09,ILVO,Yaupon,1.7,22,11,19,Ilex vomitoria,Active,10
200,2012-08-09,ILVO,Yaupon,4.5,24,20,21,Ilex vomitoria,Active,10
201,2012-08-09,ILVO,Yaupon,3.8,24,21,17,Ilex vomitoria,Active,10
202,2012-08-09,ILVO,Yaupon,2.3,17,13,12,Ilex vomitoria,Active,6
203,2012-08-09,ILVO,Yaupon,3.5,23,14,18,Ilex vomitoria,Active,9
204,2012-08-09,CULE,Leyland cypress,1,8,7,7,Cupressocyparis leylandii,Active,4
205,2012-08-09,ACRU,Red maple,8.8,30,17,21,Acer rubrum,Active,10
206,2012-08-09,ILAT,Topal holly,3.1,10,11,10,Ilex x attenuata,Active,6
207,2012-08-09,ILAT,Topal holly,2.1,9,7,10,Ilex x attenuata,Active,5
208,2012-08-09,ILAT,Topal holly,2.9,10,9,10,Ilex x attenuata,Active,5
209,2012-08-09,ILAT,Topal holly,1.6,10,9,10,Ilex x attenuata,Active,5
210,2012-08-09,ACRU,Red maple,9.4,30,18,29,Acer rubrum,Active,14
211,2012-08-09,ACRU,Red maple,11.1,41,24,31,Acer rubrum,Active,16
212,2012-08-09,ACRU,Red maple,11.1,44,24,25,Acer rubrum,Active,12
213,2012-08-09,ILAT,Topal holly,3.8,11,14,14,Ilex x attenuata,Active,7
214,2012-08-09,ILVO,Yaupon,2.5,22,14,9,Ilex vomitoria,Active,7
215,2012-08-09,LAIN,Common crapemyrtle,1.7,15,14,13,Lagerstroemia indica,Active,7
216,2012-08-09,LAIN,Common crapemyrtle,1.2,15,8,13,Lagerstroemia indica,Active,6
217,2012-08-09,ILVO,Yaupon,2.5,14,15,15,Ilex vomitoria,Active,8
218,2012-08-09,CECA,Eastern redbud,2,8,6,6,Cercis canadensis,Active,3
219,2012-08-09,ULS,elm spp,3.2,16,8,8,Ulmus,Active,4
220,2012-08-09,CECA,Eastern redbud,1.8,9,8,8,Cercis canadensis,Active,4
221,2012-08-09,ILAT,Topal holly,1.9,8,5,5,Ilex x attenuata,Active,2
222,2012-08-09,ILAT,Topal holly,1.6,8,5,5,Ilex x attenuata,Active,2
223,2012-08-09,ILAT,Topal holly,1.7,8,5,5,Ilex x attenuata,Active,2
224,2012-08-09,ACRU,Red maple,9.5,22,24,23,Acer rubrum,Active,12
225,2012-08-09,ACRU,Red maple,9.5,26,23,21,Acer rubrum,Active,12
226,2012-08-09,LAIN,Common crapemyrtle,3,15,16,16,Lagerstroemia indica,Active,8
227,2012-08-09,LAIN,Common crapemyrtle,2.6,14,14,14,Lagerstroemia indica,Active,7
228,2012-08-09,LAIN,Common crapemyrtle,1.9,14,18,18,Lagerstroemia indica,Active,9
229,2012-08-09,LAIN,Common crapemyrtle,1.8,8,9,9,Lagerstroemia indica,Active,4
230,2012-08-09,LAIN,Common crapemyrtle,2.1,14,18,18,Lagerstroemia indica,Active,9
231,2012-08-09,LAIN,Common crapemyrtle,2.1,11,13,13,Lagerstroemia indica,Active,6
232,2012-08-09,LAIN,Common crapemyrtle,2,12,16,16,Lagerstroemia indica,Active,8
233,2012-08-09,LAIN,Common crapemyrtle,2.3,12,16,16,Lagerstroemia indica,Active,8
234,2012-08-09,LAIN,Common crapemyrtle,2.5,13,15,15,Lagerstroemia indica,Active,8
235,2012-08-09,LAIN,Common crapemyrtle,2,11,12,14,Lagerstroemia indica,Active,7
236,2012-08-09,LAIN,Common crapemyrtle,2.1,12,13,13,Lagerstroemia indica,Active,6
237,2012-08-09,LAIN,Common crapemyrtle,1.5,10,12,12,Lagerstroemia indica,Active,6
238,2012-08-09,LAIN,Common crapemyrtle,1.7,9,14,14,Lagerstroemia indica,Active,7
239,2012-08-09,LAIN,Common crapemyrtle,1.8,17,14,16,Lagerstroemia indica,Active,8
240,2012-08-09,LAIN,Common crapemyrtle,1.8,17,12,15,Lagerstroemia indica,Active,8
241,2012-08-09,LAIN,Common crapemyrtle,2.6,18,14,17,Lagerstroemia indica,Active,8
242,2012-08-09,LAIN,Common crapemyrtle,2.5,16,8,12,Lagerstroemia indica,Active,6
243,2012-08-09,LAIN,Common crapemyrtle,1.6,18,15,12,Lagerstroemia indica,Active,8
244,2012-08-09,ACRU,Red maple,12,33,30,36,Acer rubrum,Active,18
245,2012-08-09,ACRU,Red maple,12.5,29,38,42,Acer rubrum,Active,21
246,2012-08-09,ACRU,Red maple,12.8,30,32,35,Acer rubrum,Active,18
247,2012-08-09,ILCO2,Chinese holly,9.1,25,20,19,Ilex cornuta,Active,10
248,2012-08-09,LAIN,Common crapemyrtle,3.8,20,24,22,Lagerstroemia indica,Active,12
249,2012-08-09,LAIN,Common crapemyrtle,2.2,15,19,17,Lagerstroemia indica,Active,10
250,2012-08-09,LAIN,Common crapemyrtle,3.7,15,24,20,Lagerstroemia indica,Active,12
251,2012-08-09,ACRU,Red maple,9.1,34,22,23,Acer rubrum,Active,12
252,2012-08-09,ILCO2,Chinese holly,1,12,10,10,Ilex cornuta,Active,5
253,2012-08-09,ILCO2,Chinese holly,2.5,13,10,10,Ilex cornuta,Active,5
254,2012-08-09,ILCO2,Chinese holly,3.4,12,10,10,Ilex cornuta,Active,5
255,2012-08-09,ACRU,Red maple,8.3,32,25,26,Acer rubrum,Active,13
256,2012-08-09,ACRU,Red maple,8,29,23,23,Acer rubrum,Active,12
257,2012-08-09,MAGR,Southern magnolia,6.7,26,12,13,Magnolia grandiflora,Active,6
258,2012-08-09,MAGR,Southern magnolia,6.4,25,14,12,Magnolia grandiflora,Active,7
259,2012-08-09,MAGR,Southern magnolia,6.8,24,12,10,Magnolia grandiflora,Active,6
260,2012-08-09,MAGR,Southern magnolia,6,25,16,9,Magnolia grandiflora,Active,8
261,2012-08-09,MAGR,Southern magnolia,6.2,25,16,10,Magnolia grandiflora,Active,8
262,2012-08-09,ACRU,Red maple,10.6,43,27,27,Acer rubrum,Active,14
263,2012-08-09,ILVO,Yaupon,1.5,9,11,12,Ilex vomitoria,Active,6
264,2012-08-09,ILVO,Yaupon,4.2,16,13,16,Ilex vomitoria,Active,8
265,2012-08-09,ILCO2,Chinese holly,7.2,20,15,15,Ilex cornuta,Active,8
266,2012-08-09,ILCO2,Chinese holly,8.8,21,17,16,Ilex cornuta,Active,8
267,2012-08-09,ILCO2,Chinese holly,5.4,23,15,14,Ilex cornuta,Active,8
268,2012-08-09,ILCO2,Chinese holly,6.3,23,15,15,Ilex cornuta,Active,8
269,2012-08-09,ILCO2,Chinese holly,5.1,14,15,12,Ilex cornuta,Active,8
270,2012-08-09,ILCO2,Chinese holly,4.2,13,15,15,Ilex cornuta,Active,8
271,2012-08-09,ILVO,Yaupon,3,16,13,12,Ilex vomitoria,Active,6
272,2012-08-09,ILVO,Yaupon,3,15,12,11,Ilex vomitoria,Active,6
273,2012-08-09,ACRU,Red maple,6.1,38,28,26,Acer rubrum,Active,14
274,2012-08-09,ILVO,Yaupon,3,17,13,13,Ilex vomitoria,Active,6
275,2012-08-09,ILVO,Yaupon,3.1,18,15,12,Ilex vomitoria,Active,8
276,2012-08-09,ILVO,Yaupon,2.7,16,16,13,Ilex vomitoria,Active,8
277,2012-08-09,ILVO,Yaupon,3.3,16,12,12,Ilex vomitoria,Active,6
278,2012-08-09,ACRU,Red maple,8.8,46,29,27,Acer rubrum,Active,14
279,2012-08-09,ILVO,Yaupon,3.8,21,16,15,Ilex vomitoria,Active,8
280,2012-08-09,ILVO,Yaupon,3.5,18,16,16,Ilex vomitoria,Active,8
281,2012-08-09,ILVO,Yaupon,3.1,15,12,15,Ilex vomitoria,Active,8
282,2012-08-10,QUNI,Water oak,39.8,52,64,60,Quercus nigra,Active,32
283,2012-08-10,QURU,Northern red oak,2.3,16,9,9,Quercus rubra,Active,4
284,2012-08-10,QUNI,Water oak,34.5,60,54,51,Quercus nigra,Active,27
285,2012-08-10,QUNI,Water oak,31.7,54,54,50,Quercus nigra,Active,27
286,2012-08-10,QUPH,Willow oak,13.3,50,32,32,Quercus phellos,Active,16
287,2012-08-10,QUPH,Willow oak,12.3,44,36,35,Quercus phellos,Active,18
288,2012-08-10,QUPH,Willow oak,11.8,31,21,22,Quercus phellos,Active,11
289,2012-08-10,QUPH,Willow oak,3.5,18,14,14,Quercus phellos,Active,7
290,2012-08-10,QUPH,Willow oak,5.2,18,19,19,Quercus phellos,Active,10
291,2012-08-10,QUPH,Willow oak,3.4,19,13,12,Quercus phellos,Active,6
292,2012-08-10,ACPA,Japanese maple,2.3,6,10,8,Acer palmatum,Active,5
293,2012-08-10,ILAT,Topal holly,5.4,12,7,7,Ilex x attenuata,Active,4
294,2012-08-10,ILAT,Topal holly,2.5,12,7,7,Ilex x attenuata,Active,4
295,2012-08-10,ILAT,Topal holly,5.8,12,7,7,Ilex x attenuata,Active,4
296,2012-08-10,ILAT,Topal holly,4.4,12,7,7,Ilex x attenuata,Active,4
297,2012-08-10,ILAT,Topal holly,5.6,13,8,8,Ilex x attenuata,Active,4
298,2012-08-10,ILAT,Topal holly,7.9,12,7,7,Ilex x attenuata,Active,4
299,2012-08-10,ILAT,Topal holly,4.9,12,7,7,Ilex x attenuata,Active,4
300,2012-08-10,ILAT,Topal holly,4.5,12,7,7,Ilex x attenuata,Active,4
301,2012-08-10,ILAT,Topal holly,5.7,12,7,7,Ilex x attenuata,Active,4
302,2012-08-10,ILAT,Topal holly,5.4,13,8,8,Ilex x attenuata,Active,4
303,2012-08-10,ACNI,Black maple,7.5,25,22,21,Acer nigrum,Active,11
304,2012-08-10,ACNI,Black maple,6.5,21,17,22,Acer nigrum,Active,11
