Date,Tree.Code,Scientific.Name,Common.Name,Breaking.Leafbuds,Canopy.Cover,Leaf.Size,Colored.Leaves,Lost.Leaves,Flower.Buds,Open.Flowers,Pollen,Fruits,Ripe.Fruits,Dropped.seeds
2019-11-14,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,95% or more,0,NA,NA,0,<5%,<3
2019-11-20,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,95% or more,0,NA,NA,0,<5%,<3
2018-03-27,694,Cladrastis kentukea,Yellow Wood,No,<5%,<5%,<5%,<5%,0,NA,NA,<3,<5%,0
2018-02-13,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,<5%,0,NA,NA,<3,<5%,0
2018-02-20,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,<5%,0,NA,NA,<3,<5%,0
2018-03-06,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,<5%,0,NA,NA,<3,<5%,0
2018-03-13,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,<5%,0,NA,NA,<3,<5%,0
2020-02-06,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,<5%,0,NA,NA,<3,<5%,0
2020-02-13,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,<5%,0,NA,NA,<3,<5%,0
2020-02-20,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,<5%,0,NA,NA,<3,<5%,0
2020-02-27,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,<5%,0,NA,NA,<3,<5%,0
2020-03-05,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,<5%,0,NA,NA,<3,<5%,0
2020-03-12,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,<5%,0,NA,NA,<3,<5%,0
2018-01-31,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,<5%,0,NA,NA,<3,<5%,0
2018-02-06,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,<5%,0,NA,NA,<3,<5%,0
2018-02-27,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,<5%,0,NA,NA,<3,<5%,0
2020-01-31,694,Cladrastis kentukea,Yellow Wood,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2018-04-17,694,Cladrastis kentukea,Yellow Wood,No,25%-49%,75%-94%,25%-49%,<5%,0,NA,NA,<3,<5%,0
2018-04-04,694,Cladrastis kentukea,Yellow Wood,No,50%-74%,50%-74%,50%-74%,<5%,0,NA,NA,<3,<5%,0
2018-04-10,694,Cladrastis kentukea,Yellow Wood,No,50%-74%,75%-94%,50%-74%,<5%,0,NA,NA,<3,<5%,0
2019-04-14,694,Cladrastis kentukea,Yellow Wood,No,25%-49%,NA,95% or more,NA,11-100,95% or more,NA,NA,NA,NA
2019-04-19,694,Cladrastis kentukea,Yellow Wood,No,25%-49%,NA,95% or more,NA,11-100,95% or more,NA,NA,NA,NA
2017-10-26,694,Cladrastis kentukea,Yellow Wood,No,<5%,95% or more,<5%,95% or more,0,NA,NA,NA,NA,NA
2017-11-02,694,Cladrastis kentukea,Yellow Wood,No,<5%,95% or more,<5%,95% or more,0,NA,NA,NA,NA,NA
2017-11-16,694,Cladrastis kentukea,Yellow Wood,No,<5%,95% or more,<5%,95% or more,0,NA,NA,NA,NA,NA
2019-03-14,694,Cladrastis kentukea,Yellow Wood,Yes; 11-100,0,NA,<5%,NA,0,NA,NA,NA,NA,NA
2017-09-28,694,Cladrastis kentukea,Yellow Wood,No,25%-49%,95% or more,25%-49%,50%-74%,0,NA,NA,NA,NA,NA
2017-10-05,694,Cladrastis kentukea,Yellow Wood,No,5%-24%,95% or more,5%-24%,75%-94%,0,NA,NA,NA,NA,NA
2017-11-09,694,Cladrastis kentukea,Yellow Wood,No,5%-24%,95% or more,5%-24%,75%-94%,0,NA,NA,NA,NA,NA
2017-09-07,694,Cladrastis kentukea,Yellow Wood,No,50%-74%,95% or more,50%-74%,25%-49%,0,NA,NA,NA,NA,NA
2017-09-14,694,Cladrastis kentukea,Yellow Wood,No,50%-74%,95% or more,50%-74%,25%-49%,0,NA,NA,NA,NA,NA
2017-08-31,694,Cladrastis kentukea,Yellow Wood,No,50%-74%,NA,50%-74%,25%-49%,0,NA,NA,NA,NA,NA
2019-03-31,694,Cladrastis kentukea,Yellow Wood,Yes; 11-100,25%-49%,NA,95% or more,NA,0,NA,NA,NA,NA,NA
2019-03-22,694,Cladrastis kentukea,Yellow Wood,Yes; 11-100,50%-74%,NA,95% or more,NA,0,NA,NA,NA,NA,NA
2019-01-16,694,Cladrastis kentukea,Yellow Wood,No,0,NA,NA,NA,0,NA,NA,NA,NA,NA
2019-01-22,694,Cladrastis kentukea,Yellow Wood,No,0,NA,NA,NA,0,NA,NA,NA,NA,NA
2019-01-28,694,Cladrastis kentukea,Yellow Wood,No,0,NA,NA,NA,0,NA,NA,NA,NA,NA
2019-02-04,694,Cladrastis kentukea,Yellow Wood,No,0,NA,NA,NA,0,NA,NA,NA,NA,NA
2019-04-05,694,Cladrastis kentukea,Yellow Wood,No,25%-49%,NA,75%-94%,NA,101-1000,NA,NA,NA,NA,NA
2019-02-14,694,Cladrastis kentukea,Yellow Wood,No,0,NA,NA,NA,11-100,NA,NA,NA,NA,NA
2019-02-18,694,Cladrastis kentukea,Yellow Wood,No,0,NA,NA,NA,11-100,NA,NA,NA,NA,NA
2019-02-25,694,Cladrastis kentukea,Yellow Wood,No,0,NA,NA,NA,11-100,NA,NA,NA,NA,NA
2019-03-07,694,Cladrastis kentukea,Yellow Wood,No,0,NA,NA,NA,11-100,NA,NA,NA,NA,NA
2019-04-27,694,Cladrastis kentukea,Yellow Wood,No,25%-49%,NA,95% or more,NA,11-100,25-49%,little,NA,NA,NA
2019-11-06,739,Zelkova serrata,Japanese Zelkova,No,50%-74%,75%-94%,<5%,<5%,0,NA,NA,0,<5%,<3
2019-10-24,739,Zelkova serrata,Japanese Zelkova,No,50%-74%,75%-94%,<5%,<5%,0,NA,NA,0,<5%,<3
2019-09-12,739,Zelkova serrata,Japanese Zelkova,No,50%-74%,50%-74%,<5%,<5%,0,NA,NA,0,<5%,<3
2019-09-19,739,Zelkova serrata,Japanese Zelkova,No,50%-74%,75%-94%,<5%,<5%,0,NA,NA,0,<5%,<3
2019-09-25,739,Zelkova serrata,Japanese Zelkova,No,50%-74%,75%-94%,<5%,<5%,0,NA,NA,0,<5%,<3
2019-10-03,739,Zelkova serrata,Japanese Zelkova,No,50%-74%,75%-94%,<5%,<5%,0,NA,NA,0,<5%,<3
2019-10-09,739,Zelkova serrata,Japanese Zelkova,No,50%-74%,75%-94%,<5%,<5%,0,NA,NA,0,<5%,<3
2019-10-17,739,Zelkova serrata,Japanese Zelkova,No,50%-74%,75%-94%,<5%,<5%,0,NA,NA,0,<5%,<3
2019-10-30,739,Zelkova serrata,Japanese Zelkova,No,50%-74%,95% or more,50%-74%,<5%,0,NA,NA,0,<5%,<3
2019-11-18,739,Zelkova serrata,Japanese Zelkova,No,25%-49%,75%-94%,75%-94%,25%-49%,0,NA,NA,0,<5%,<3
2019-11-14,739,Zelkova serrata,Japanese Zelkova,No,50%-74%,75%-94%,75%-94%,25%-49%,0,NA,NA,0,<5%,<3
2020-01-31,739,Zelkova serrata,Japanese Zelkova,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-02-06,739,Zelkova serrata,Japanese Zelkova,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-02-13,739,Zelkova serrata,Japanese Zelkova,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-02-20,739,Zelkova serrata,Japanese Zelkova,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-02-27,739,Zelkova serrata,Japanese Zelkova,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-03-06,739,Zelkova serrata,Japanese Zelkova,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-03-13,739,Zelkova serrata,Japanese Zelkova,Yes; <3,50%-74%,25%-49%,50%-74%,25%-49%,0,NA,NA,<3,<5%,0
2019-04-27,739,Zelkova serrata,Japanese Zelkova,No,50%-74%,<5%,95% or more,<5%,101-1000,<5%,NA,NA,NA,NA
2019-01-16,739,Zelkova serrata,Japanese Zelkova,No,75%-94%,NA,95% or more,NA,0,NA,NA,NA,NA,NA
2019-01-22,739,Zelkova serrata,Japanese Zelkova,No,75%-94%,NA,95% or more,NA,0,NA,NA,NA,NA,NA
2019-02-14,739,Zelkova serrata,Japanese Zelkova,No,75%-94%,NA,95% or more,<5%,101-1000,NA,NA,NA,NA,NA
2019-03-07,739,Zelkova serrata,Japanese Zelkova,No,75%-94%,NA,95% or more,<5%,101-1000,NA,NA,NA,NA,NA
2019-02-25,739,Zelkova serrata,Japanese Zelkova,No,75%-94%,NA,95% or more,NA,101-1000,NA,NA,NA,NA,NA
2019-03-22,739,Zelkova serrata,Japanese Zelkova,No,75%-94%,NA,95% or more,NA,101-1000,NA,NA,NA,NA,NA
2019-04-05,739,Zelkova serrata,Japanese Zelkova,No,75%-94%,<5%,95% or more,<5%,101-1000,NA,NA,NA,NA,NA
2019-04-14,739,Zelkova serrata,Japanese Zelkova,No,75%-94%,5%-24%,95% or more,<5%,101-1000,NA,NA,NA,NA,NA
2019-03-31,739,Zelkova serrata,Japanese Zelkova,No,75%-94%,5%-24%,95% or more,<5%,101-1000,NA,NA,NA,NA,NA
2019-03-14,739,Zelkova serrata,Japanese Zelkova,No,75%-94%,<5%,95% or more,<5%,101-1000,NA,NA,NA,NA,NA
2019-04-19,739,Zelkova serrata,Japanese Zelkova,No,75%-94%,<5%,95% or more,<5%,101-1000,NA,NA,NA,NA,NA
2019-01-28,739,Zelkova serrata,Japanese Zelkova,No,75%-94%,NA,95% or more,NA,11-100,NA,NA,NA,NA,NA
2019-02-04,739,Zelkova serrata,Japanese Zelkova,No,75%-94%,NA,95% or more,<5%,11-100,NA,NA,NA,NA,NA
2019-02-18,739,Zelkova serrata,Japanese Zelkova,No,75%-94%,NA,95% or more,<5%,11-100,NA,NA,NA,NA,NA
2019-10-22,757,Ulmus parvifolia,Chinese Elm,No,75%-94%,75%-94%,<5%,<5%,0,NA,NA,<3,<5%,<3
2019-10-29,757,Ulmus parvifolia,Chinese Elm,No,75%-94%,75%-94%,<5%,<5%,0,NA,NA,<3,<5%,<3
2019-11-11,757,Ulmus parvifolia,Chinese Elm,No,25%-49%,75%-94%,<5%,25%-49%,0,NA,NA,<3,<5%,<3
2019-11-18,757,Ulmus parvifolia,Chinese Elm,No,25%-49%,75%-94%,<5%,25%-49%,0,NA,NA,<3,<5%,<3
2019-11-04,757,Ulmus parvifolia,Chinese Elm,No,50%-74%,75%-94%,<5%,25%-49%,0,NA,NA,<3,<5%,<3
2019-09-09,757,Ulmus parvifolia,Chinese Elm,No,75%-94%,75%-94%,<5%,<5%,0,NA,NA,<3,<5%,<3
2019-09-17,757,Ulmus parvifolia,Chinese Elm,No,75%-94%,75%-94%,<5%,<5%,0,NA,NA,<3,<5%,<3
2019-09-23,757,Ulmus parvifolia,Chinese Elm,No,75%-94%,75%-94%,<5%,<5%,0,NA,NA,<3,<5%,<3
2019-10-01,757,Ulmus parvifolia,Chinese Elm,No,75%-94%,75%-94%,<5%,<5%,0,NA,NA,<3,<5%,<3
2019-10-08,757,Ulmus parvifolia,Chinese Elm,No,75%-94%,75%-94%,<5%,<5%,0,NA,NA,<3,<5%,<3
2018-11-20,757,Ulmus parvifolia,Chinese Elm,No,50%-74%,50%-74%,<5%,<5%,0,NA,NA,<3,<5%,0
2018-10-09,757,Ulmus parvifolia,Chinese Elm,No,75%-94%,50%-74%,<5%,<5%,0,NA,NA,<3,<5%,0
2018-10-30,757,Ulmus parvifolia,Chinese Elm,No,75%-94%,50%-74%,<5%,<5%,0,NA,NA,<3,<5%,0
2018-10-02,757,Ulmus parvifolia,Chinese Elm,No,75%-94%,75%-94%,<5%,<5%,0,NA,NA,<3,<5%,0
2018-10-16,757,Ulmus parvifolia,Chinese Elm,No,75%-94%,75%-94%,<5%,<5%,0,NA,NA,<3,<5%,0
2018-10-23,757,Ulmus parvifolia,Chinese Elm,No,75%-94%,75%-94%,<5%,<5%,0,NA,NA,<3,<5%,0
2018-11-07,757,Ulmus parvifolia,Chinese Elm,No,75%-94%,75%-94%,<5%,<5%,0,NA,NA,<3,<5%,0
2018-11-13,757,Ulmus parvifolia,Chinese Elm,No,50%-74%,50%-74%,<5%,25%-49%,0,NA,NA,<3,<5%,0
2018-09-07,757,Ulmus parvifolia,Chinese Elm,No,95% or more,50%-74%,<5%,<5%,0,NA,NA,<3,<5%,0
2018-09-11,757,Ulmus parvifolia,Chinese Elm,No,95% or more,50%-74%,<5%,<5%,0,NA,NA,<3,<5%,0
2018-09-25,757,Ulmus parvifolia,Chinese Elm,No,95% or more,75%-94%,<5%,<5%,0,NA,NA,<3,<5%,0
2018-09-18,757,Ulmus parvifolia,Chinese Elm,No,95% or more,95% or more,<5%,<5%,0,NA,NA,<3,<5%,0
2020-01-31,757,Ulmus parvifolia,Chinese Elm,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-02-06,757,Ulmus parvifolia,Chinese Elm,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-02-13,757,Ulmus parvifolia,Chinese Elm,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-02-20,757,Ulmus parvifolia,Chinese Elm,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-02-27,757,Ulmus parvifolia,Chinese Elm,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-03-05,757,Ulmus parvifolia,Chinese Elm,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2020-03-12,757,Ulmus parvifolia,Chinese Elm,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2018-04-10,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2018-02-13,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2018-02-20,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2018-02-06,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,0
2018-04-17,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,5%-24%,<5%,25%-49%,<5%,0,NA,NA,<3,<5%,0
2018-11-27,757,Ulmus parvifolia,Chinese Elm,No,75%-94%,50%-74%,75%-94%,<5%,0,NA,NA,<3,<5%,0
2018-02-27,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,<5%,NA,<5%,95% or more,11-100,<5%,NA,<3,<5%,0
2018-03-06,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,<5%,NA,<5%,95% or more,11-100,<5%,NA,<3,<5%,0
2018-03-13,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,<5%,NA,<5%,95% or more,101-1000,5-24%,NA,<3,<5%,0
2018-03-27,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,<5%,NA,<5%,95% or more,101-1000,5-24%,NA,<3,<5%,0
2018-04-03,757,Ulmus parvifolia,Chinese Elm,Yes; 11-100,<5%,NA,<5%,95% or more,11-100,5-24%,NA,<3,<5%,0
2017-11-14,757,Ulmus parvifolia,Chinese Elm,"Yes; 1001-10,000",50%-74%,50%-74%,50%-74%,5%-24%,0,NA,NA,NA,NA,NA
2017-10-18,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,50%-74%,50%-74%,50%-74%,5%-24%,0,NA,NA,NA,NA,NA
2017-10-23,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,50%-74%,50%-74%,50%-74%,5%-24%,0,NA,NA,NA,NA,NA
2017-10-30,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,50%-74%,50%-74%,50%-74%,5%-24%,0,NA,NA,NA,NA,NA
2017-10-03,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,50%-74%,50%-74%,50%-74%,5%-24%,0,NA,NA,NA,NA,NA
2017-09-19,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,50%-74%,50%-74%,75%-94%,<5%,0,NA,NA,NA,NA,NA
2017-09-27,757,Ulmus parvifolia,Chinese Elm,"Yes; 1001-10,000",75%-94%,50%-74%,75%-94%,5%-24%,0,NA,NA,NA,NA,NA
2017-10-12,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,75%-94%,50%-74%,75%-94%,5%-24%,0,NA,NA,NA,NA,NA
2017-11-07,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,75%-94%,50%-74%,75%-94%,5%-24%,0,NA,NA,NA,NA,NA
2017-09-14,757,Ulmus parvifolia,Chinese Elm,Yes; 11-100,75%-94%,50%-74%,75%-94%,5%-24%,0,NA,NA,NA,NA,NA
2017-08-30,757,Ulmus parvifolia,Chinese Elm,No,95% or more,95% or more,95% or more,<5%,0,NA,NA,NA,NA,NA
2019-01-24,757,Ulmus parvifolia,Chinese Elm,No,<5%,NA,95% or more,<5%,0,NA,NA,NA,NA,NA
2019-02-01,757,Ulmus parvifolia,Chinese Elm,No,<5%,NA,95% or more,<5%,0,NA,NA,NA,NA,NA
2019-02-07,757,Ulmus parvifolia,Chinese Elm,No,<5%,NA,95% or more,<5%,0,NA,NA,NA,NA,NA
2019-04-11,757,Ulmus parvifolia,Chinese Elm,No,95% or more,NA,25%-49%,NA,0,NA,NA,NA,NA,NA
2019-04-27,757,Ulmus parvifolia,Chinese Elm,No,95% or more,NA,95% or more,NA,0,NA,NA,NA,NA,NA
2019-04-22,757,Ulmus parvifolia,Chinese Elm,No,95% or more,NA,50%-74%,NA,0,NA,NA,NA,NA,NA
2019-04-05,757,Ulmus parvifolia,Chinese Elm,Yes; 101-1000,0,NA,NA,NA,0,NA,NA,NA,NA,NA
2019-03-31,757,Ulmus parvifolia,Chinese Elm,Yes; 3 to 10,0,NA,NA,NA,0,NA,NA,NA,NA,NA
2019-01-18,757,Ulmus parvifolia,Chinese Elm,No,<5%,NA,95% or more,NA,0,NA,NA,NA,NA,NA
2019-02-18,757,Ulmus parvifolia,Chinese Elm,"Yes; 1001-10,000",0,NA,NA,NA,0,NA,NA,NA,NA,NA
2019-02-25,757,Ulmus parvifolia,Chinese Elm,No,0,NA,NA,NA,"1001-10,000",NA,NA,NA,NA,NA
2019-03-08,757,Ulmus parvifolia,Chinese Elm,No,0,NA,NA,NA,"1001-10,000",NA,NA,NA,NA,NA
2019-03-15,757,Ulmus parvifolia,Chinese Elm,No,0,NA,NA,NA,"1001-10,000",NA,NA,NA,NA,NA
2019-03-22,757,Ulmus parvifolia,Chinese Elm,No,0,NA,NA,NA,"1001-10,000",NA,NA,NA,NA,NA
2019-02-15,757,Ulmus parvifolia,Chinese Elm,No,0,NA,NA,NA,"More than 10,000",NA,NA,NA,NA,NA
2019-11-18,1923,Styrax americanus,American Snowbell,No,<5%,NA,<5%,<5%,0,NA,NA,<3,<5%,<3
2019-11-11,1923,Styrax americanus,American Snowbell,No,<5%,NA,<5%,95% or more,0,NA,NA,<3,<5%,<3
2019-11-08,1923,Styrax americanus,American Snowbell,No,<5%,NA,<5%,75%-94%,0,NA,NA,11-100,<5%,<3
2019-10-16,1923,Styrax americanus,American Snowbell,No,<5%,NA,<5%,75%-94%,0,NA,NA,11-100,<5%,<3
2019-09-26,1923,Styrax americanus,American Snowbell,No,25%-49%,95% or more,25%-49%,50%-74%,0,NA,NA,11-100,<5%,<3
2019-09-12,1923,Styrax americanus,American Snowbell,No,50%-74%,75%-94%,50%-74%,25%-49%,0,NA,NA,11-100,<5%,<3
2019-10-31,1923,Styrax americanus,American Snowbell,No,<5%,NA,75%-94%,75%-94%,0,NA,NA,11-100,<5%,<3
2019-10-24,1923,Styrax americanus,American Snowbell,No,<5%,NA,75%-94%,95% or more,0,NA,NA,11-100,<5%,<3
2019-10-01,1923,Styrax americanus,American Snowbell,No,5%-24%,NA,25%-49%,75%-94%,0,NA,NA,11-100,5-24%,<3
2019-09-17,1923,Styrax americanus,American Snowbell,No,50%-74%,50%-74%,50%-74%,50%-74%,0,NA,NA,11-100,50-74%,<3
2019-10-08,1923,Styrax americanus,American Snowbell,No,5%-24%,NA,75%-94%,75%-94%,0,NA,NA,11-100,<5%,11-100
2017-09-26,1923,Styrax americanus,American Snowbell,No,0,<5%,<5%,95% or more,0,NA,NA,11-100,<5%,11-100
2017-09-15,1923,Styrax americanus,American Snowbell,No,<5%,<5%,<5%,95% or more,0,NA,NA,11-100,<5%,11-100
2017-10-03,1923,Styrax americanus,American Snowbell,No,<5%,<5%,<5%,95% or more,0,NA,NA,11-100,<5%,11-100
2017-09-05,1923,Styrax americanus,American Snowbell,No,5%-24%,<5%,5%-24%,75%-94%,0,NA,NA,101-1000,25-49%,11-100
2017-10-31,1923,Styrax americanus,American Snowbell,No,<5%,<5%,<5%,95% or more,0,NA,NA,11-100,75-94%,11-100
2017-11-14,1923,Styrax americanus,American Snowbell,No,0,NA,NA,NA,0,NA,NA,NA,95% or more,11-100
2017-09-20,1923,Styrax americanus,American Snowbell,No,<5%,<5%,<5%,95% or more,0,NA,NA,11-100,25-49%,3 to 10
2017-10-10,1923,Styrax americanus,American Snowbell,No,<5%,<5%,<5%,95% or more,0,NA,NA,11-100,5-24%,3 to 10
2017-10-17,1923,Styrax americanus,American Snowbell,No,<5%,<5%,<5%,95% or more,0,NA,NA,11-100,5-24%,3 to 10
2017-10-17,1923,Styrax americanus,American Snowbell,No,<5%,<5%,<5%,95% or more,0,NA,NA,11-100,5-24%,3 to 10
2017-11-07,1923,Styrax americanus,American Snowbell,No,<5%,<5%,<5%,95% or more,0,NA,NA,11-100,75-94%,3 to 10
2017-10-24,1923,Styrax americanus,American Snowbell,No,<5%,<5%,<5%,95% or more,0,NA,NA,11-100,75-94%,3 to 10
2018-09-25,1923,Styrax americanus,American Snowbell,No,25%-49%,95% or more,<5%,25%-49%,0,NA,NA,<3,<5%,0
2018-10-02,1923,Styrax americanus,American Snowbell,No,50%-74%,95% or more,<5%,25%-49%,0,NA,NA,<3,<5%,0
2018-10-23,1923,Styrax americanus,American Snowbell,No,5%-24%,95% or more,<5%,50%-74%,0,NA,NA,<3,<5%,0
2018-03-06,1923,Styrax americanus,American Snowbell,Yes; 11-100,5%-24%,<5%,<5%,75%-94%,0,NA,NA,<3,<5%,0
2018-09-18,1923,Styrax americanus,American Snowbell,No,75%-94%,95% or more,<5%,<5%,0,NA,NA,<3,<5%,0
